mouse_id,target,preCount,preTrials,preProp
vta-nacc-ctrl-7,20,139,7558,0.0183911087589309
vta-nacc-ctrl-7,76,42,7275,0.00577319587628866
vta-nacc-ctrl-7,17,241,6604,0.0364930345245306
vta-nacc-ctrl-7,59,91,5842,0.015576857240671
vta-nacc-ctrl-7,30,238,5173,0.0460081190798376
1528,20,345,7840,0.0440051020408163
1528,27,138,7892,0.0174860618347694
1528,17,285,7565,0.0376734963648381
1528,76,198,7725,0.025631067961165
1528,30,88,7179,0.0122579746482797
1528,59,165,7746,0.0213013168086754
1529,20,287,7373,0.0389258103892581
1529,27,199,7330,0.0271487039563438
1529,17,208,7375,0.0282033898305085
1529,76,221,8233,0.0268431920320661
1529,30,196,7666,0.0255674406470128
1529,59,122,7177,0.016998745994148
1544,20,449,7721,0.0581530889781117
1544,27,389,8257,0.0471115417221751
1544,17,181,7187,0.0251843606511757
1544,76,281,8265,0.0339987900786449
1544,30,215,7305,0.0294318959616701
1544,59,181,7521,0.0240659486770376
1546,27,466,7342,0.0634704440207028
1546,20,322,6932,0.0464512406231968
1546,76,169,6348,0.0266225582860744
1546,17,251,6684,0.0375523638539797
1546,59,96,6936,0.013840830449827
1546,30,168,6306,0.0266412940057089
15822,27,943,4639,0.203276568225911
15822,20,130,5936,0.021900269541779
15822,76,142,6433,0.0220736825742266
15822,17,63,6688,0.00941985645933014
15822,59,109,7187,0.0151662724363434
15822,30,34,6285,0.00540970564836913
15823,27,897,6255,0.143405275779377
15823,20,238,6867,0.0346585117227319
15823,76,125,7054,0.0177204423022399
15823,17,164,7829,0.0209477583343978
15823,59,121,8071,0.0149919464750341
15823,30,14,6964,0.00201033888569788
15847,27,937,7175,0.130592334494774
15847,20,513,6785,0.0756079587324982
15847,76,254,7556,0.0336156696664902
15847,17,215,7699,0.0279257046369658
15847,59,225,8209,0.0274089414057742
15847,30,33,6504,0.00507380073800738
239,20,147,5358,0.0274356103023516
239,27,683,5677,0.120310022899419
239,76,119,5903,0.0201592410638658
239,17,268,6279,0.042681955725434
239,30,69,6627,0.0104119511090991
239,59,121,7114,0.0170087152094462
240,27,702,6292,0.111570247933884
240,20,205,7395,0.0277214334009466
240,17,185,7519,0.0246043356829366
240,76,150,8151,0.0184026499815973
240,59,103,7323,0.0140652737948928
240,30,248,7240,0.0342541436464088
241,20,363,6753,0.0537538871612617
241,27,939,6851,0.13706028317034
241,76,218,6127,0.0355802187040966
241,17,34,8630,0.00393974507531866
241,30,91,7624,0.0119359916054565
241,59,120,7382,0.0162557572473584
242,27,746,7168,0.104073660714286
242,20,211,6970,0.0302725968436155
242,17,56,7384,0.0075839653304442
242,76,197,7482,0.0263298583266506
242,59,83,6688,0.0124102870813397
242,30,102,6523,0.0156369768511421
410,27,956,6264,0.152618135376756
410,20,341,7068,0.0482456140350877
410,17,251,7190,0.0349095966620306
410,76,238,6786,0.0350722074860006
410,30,57,6567,0.00867976244860667
410,59,83,6210,0.013365539452496
dls-ai32jr-1,20,31,6282,0.00493473416109519
dls-ai32jr-1,27,1139,6622,0.172002416188463
dls-ai32jr-1,17,380,6992,0.0543478260869565
dls-ai32jr-1,76,222,7240,0.0306629834254144
dls-ai32jr-1,30,115,7654,0.0150248236216357
dls-ai32jr-1,59,196,7455,0.0262910798122066
dls-ai32jr-2,27,908,8157,0.111315434596052
dls-ai32jr-2,20,137,7375,0.0185762711864407
dls-ai32jr-2,76,126,7505,0.0167888074616922
dls-ai32jr-2,17,382,7295,0.0523646333104866
dls-ai32jr-2,59,120,7088,0.0169300225733634
dls-ai32jr-2,30,111,6746,0.0164541950785651
dls-ai32jr-3,20,172,7831,0.0219639892734006
dls-ai32jr-3,27,1007,7368,0.136672095548317
dls-ai32jr-3,17,274,7380,0.0371273712737127
dls-ai32jr-3,76,241,7393,0.0325984038955769
dls-ai32jr-3,30,133,7666,0.0173493347247587
dls-ai32jr-3,59,133,7937,0.0167569610684138
dls-ai32jr-4,27,947,3833,0.247064962170624
dls-ai32jr-4,20,64,3827,0.0167232819440815
dls-ai32jr-4,76,57,5567,0.0102389078498294
dls-ai32jr-4,17,371,5537,0.0670037926675095
dls-ai32jr-4,59,67,5951,0.0112586119979835
dls-ai32jr-4,30,157,6813,0.0230441802436518
dls-ai32jr-5,20,175,6749,0.0259297673729441
dls-ai32jr-5,27,1098,7211,0.152267369296908
dls-ai32jr-5,17,238,7317,0.032526991936586
dls-ai32jr-5,76,257,7392,0.034767316017316
dls-ai32jr-5,30,191,8081,0.0236356886523945
dls-ai32jr-5,59,142,7346,0.0193302477538797
dlight-chrimson-8,20,114,7197,0.015839933305544
dlight-chrimson-8,27,739,7454,0.0991414005902871
dlight-chrimson-8,17,269,8339,0.032258064516129
dlight-chrimson-8,76,82,8270,0.00991535671100363
dlight-chrimson-8,59,158,8587,0.0183999068359148
dlight-chrimson-8,30,299,8318,0.0359461408992546
dlight-chrimson-9,27,826,7653,0.107931530118908
dlight-chrimson-9,20,174,7354,0.0236605928746261
dlight-chrimson-9,76,84,8109,0.0103588605253422
dlight-chrimson-9,17,122,8116,0.0150320354854608
dlight-chrimson-9,30,391,8607,0.0454281398861392
dlight-chrimson-9,59,59,8397,0.00702631892342503
