mouse_id,target,optoCount,optoTrials,optoProp
vta-nacc-ctrl-7,20,102,6901,0.0147804665990436
vta-nacc-ctrl-7,76,183,7528,0.0243092454835282
vta-nacc-ctrl-7,17,477,5999,0.0795132522087015
vta-nacc-ctrl-7,59,63,5289,0.0119115144639819
vta-nacc-ctrl-7,30,189,5625,0.0336
1528,20,462,8110,0.0569667077681874
1528,27,689,7757,0.088822998581926
1528,17,504,7594,0.0663681854095339
1528,76,175,7120,0.0245786516853933
1528,30,172,7154,0.0240424937098127
1528,59,200,7649,0.0261472087854622
1529,20,250,7530,0.0332005312084993
1529,27,635,6577,0.0965485783792002
1529,17,375,7767,0.0482811896485129
1529,76,127,6969,0.0182235614865834
1529,30,132,7426,0.0177753837866954
1529,59,107,6660,0.0160660660660661
1544,20,578,8189,0.0705824887043595
1544,27,971,7103,0.136702801633113
1544,17,313,7763,0.0403194641246941
1544,76,353,7931,0.0445088891690833
1544,30,205,7407,0.0276765222087215
1544,59,217,7739,0.0280397984235689
1546,27,599,7489,0.079983976498865
1546,20,197,6504,0.0302890528905289
1546,76,179,5827,0.0307190664149648
1546,17,257,7045,0.0364797728885735
1546,59,101,5841,0.017291559664441
1546,30,197,6177,0.0318925044519994
15822,27,1023,5604,0.18254817987152
15822,20,269,6414,0.0419395073277206
15822,76,281,6851,0.0410159100861188
15822,17,115,6843,0.0168054946660821
15822,59,119,7355,0.0161794697484704
15822,30,80,6667,0.0119994000299985
15823,27,969,6850,0.141459854014599
15823,20,338,6803,0.0496839629575187
15823,76,241,7586,0.0317690482467704
15823,17,220,7641,0.0287920429263185
15823,59,147,8481,0.0173328616908383
15823,30,28,7319,0.00382565924306599
15847,27,1064,6269,0.169724038921678
15847,20,449,6890,0.065166908563135
15847,76,350,7786,0.0449524788081171
15847,17,195,7980,0.0244360902255639
15847,59,145,7604,0.0190689110994214
15847,30,76,7121,0.0106726583345036
239,20,289,5747,0.050287106316339
239,27,747,6528,0.114430147058824
239,76,136,6282,0.0216491563196434
239,17,212,6685,0.0317127898279731
239,30,61,6412,0.0095134123518403
239,59,180,6831,0.0263504611330698
240,27,856,7363,0.116256960478066
240,20,391,7145,0.0547235829251225
240,17,210,7368,0.0285016286644951
240,76,387,8066,0.0479791718323828
240,59,236,6969,0.0338642559908165
240,30,109,7906,0.0137869972173033
241,20,501,6563,0.0763370409873533
241,27,944,7245,0.130296756383713
241,76,255,7917,0.0322091701402046
241,17,28,8420,0.00332541567695962
241,30,78,7693,0.0101390874821266
241,59,122,7407,0.0164709058998245
242,27,800,6932,0.115406809001731
242,20,309,7392,0.0418019480519481
242,17,90,7726,0.0116489774786435
242,76,158,7901,0.0199974686748513
242,59,120,7559,0.0158751157560524
242,30,84,6869,0.0122288542728199
410,27,1083,7123,0.152042678646638
410,20,293,6603,0.0443737694987127
410,17,241,6835,0.0352596927578639
410,76,323,6656,0.0485276442307692
410,30,76,7050,0.0107801418439716
410,59,103,6365,0.0161822466614297
dls-ai32jr-1,20,124,6524,0.0190067443286327
dls-ai32jr-1,27,1095,6602,0.165858830657377
dls-ai32jr-1,17,353,7174,0.0492054641761918
dls-ai32jr-1,76,287,7415,0.0387053270397842
dls-ai32jr-1,30,128,7739,0.0165396046000775
dls-ai32jr-1,59,214,7237,0.0295702639215144
